Notti;Periodo;"Room Night";"Room Night Totali";Pickup;"Lead Time Medio";Occupazione(%);"Occupazione Persone Media";"Non Classificato";Ristorante;"Spa
";Pernotto;Altro;Sconti;"City Tax";RevPar;ADR;"Ricavo medio prenotazione";Totale;"Totale senza imposta"
1,00;"Ma 16 Set 2025";25,00;25,00;13,00;"2 mesi 0 giorni 0 ore";100,00;1,92;0,00;571,00;70,00;5.389,26;2,00;0,00;102,50;215,57;215,57;245,39;6.134,76;6.032,26
1,00;"Me 17 Set 2025";25,00;25,00;16,00;"2 mesi 26 giorni 0 ore";100,00;2,00;0,00;464,50;180,00;5.231,12;20,00;0,00;112,50;209,24;209,24;240,32;6.008,12;5.895,62
1,00;"Gi 18 Set 2025";25,00;25,00;25,00;"1 mesi 27 giorni 0 ore";100,00;2,04;-314,00;550,00;30,00;5.251,74;18,00;0,00;122,50;210,07;210,07;226,33;5.658,24;5.535,74
1,00;"Ve 19 Set 2025";24,00;25,00;17,00;"1 mesi 5 giorni 0 ore";96,00;2,04;0,00;573,50;450,00;5.960,61;31,00;0,00;112,50;238,42;248,36;296,98;7.127,61;7.015,11
1,00;"Sa 20 Set 2025";25,00;25,00;28,00;"0 mesi 27 giorni 0 ore";100,00;2,00;0,00;449,00;665,00;6.282,36;0,00;0,00;102,50;251,29;251,29;299,95;7.498,86;7.396,36
1,00;"Do 21 Set 2025";25,00;25,00;30,00;"1 mesi 4 giorni 0 ore";100,00;1,84;-0,69;498,00;530,00;3.840,09;8,00;0,00;102,50;153,60;153,60;199,12;4.977,90;4.875,40
1,00;"Lu 22 Set 2025";25,00;25,00;15,00;"2 mesi 4 giorni 0 ore";100,00;1,96;0,00;574,50;370,00;4.693,38;0,00;0,00;107,50;187,74;187,74;229,82;5.745,38;5.637,88
1,00;"Ma 23 Set 2025";25,00;25,00;22,00;"2 mesi 19 giorni 0 ore";100,00;1,96;0,00;556,50;190,00;5.279,74;0,00;0,00;110,00;211,19;211,19;245,45;6.136,24;6.026,24
1,00;"Me 24 Set 2025";25,00;25,00;7,00;"1 mesi 2 giorni 0 ore";100,00;2,20;0,00;543,50;150,00;5.036,37;4,00;0,00;112,50;201,45;201,45;233,85;5.846,37;5.733,87
1,00;"Gi 25 Set 2025";25,00;25,00;14,00;"1 mesi 17 giorni 0 ore";100,00;2,20;0,00;650,00;420,00;5.347,56;83,00;0,00;112,50;213,90;213,90;264,52;6.613,06;6.500,56
1,00;"Ve 26 Set 2025";25,00;25,00;33,00;"1 mesi 6 giorni 0 ore";100,00;2,00;0,00;571,50;390,00;5.834,23;4,00;0,00;112,50;233,37;233,37;276,49;6.912,23;6.799,73
1,00;"Sa 27 Set 2025";25,00;25,00;11,00;"2 mesi 19 giorni 0 ore";100,00;2,16;0,00;531,50;320,00;6.051,79;0,00;-0,04;120,00;242,07;242,07;280,93;7.023,25;6.903,25
1,00;"Do 28 Set 2025";23,00;25,00;23,00;"1 mesi 5 giorni 0 ore";92,00;2,22;0,00;517,50;860,00;3.400,84;35,00;-22,62;112,50;136,03;147,86;213,18;4.903,22;4.790,72
1,00;"Lu 29 Set 2025";25,00;25,00;15,00;"2 mesi 4 giorni 0 ore";100,00;2,12;0,00;570,00;300,00;4.159,26;50,00;0,00;122,50;166,37;166,37;208,07;5.201,76;5.079,26
1,00;"Ma 30 Set 2025";25,00;25,00;18,00;"1 mesi 24 giorni 0 ore";100,00;2,00;0,00;597,00;240,00;4.734,50;65,00;0,00;115,00;189,38;189,38;230,06;5.751,50;5.636,50
1,00;"Me 01 Ott 2025";25,00;25,00;27,00;"1 mesi 14 giorni 0 ore";100,00;2,00;-0,99;627,50;480,00;4.828,43;5,00;-21,24;115,00;193,14;193,14;241,35;6.033,70;5.918,70
1,00;"Gi 02 Ott 2025";24,00;25,00;103,00;"3 mesi 4 giorni 0 ore";96,00;2,00;0,00;583,50;520,00;4.496,03;7,00;-169,90;112,50;179,84;187,33;231,21;5.549,13;5.436,63
1,00;"Ve 03 Ott 2025";25,00;25,00;96,00;"1 mesi 8 giorni 0 ore";100,00;2,16;0,00;564,00;715,00;5.151,10;0,00;-236,20;127,50;206,04;206,04;252,86;6.321,40;6.193,90
1,00;"Sa 04 Ott 2025";25,00;25,00;12,00;"1 mesi 27 giorni 0 ore";100,00;2,04;-0,05;594,00;650,00;5.510,80;0,00;0,00;122,92;220,43;220,43;275,11;6.877,67;6.754,75
1,00;"Do 05 Ott 2025";24,00;25,00;24,00;"1 mesi 11 giorni 0 ore";96,00;2,13;0,00;533,50;390,00;3.924,01;0,00;0,00;111,26;156,96;163,50;206,62;4.958,77;4.847,51
1,00;"Lu 06 Ott 2025";25,00;25,00;10,00;"1 mesi 11 giorni 0 ore";100,00;2,04;0,00;616,00;280,00;4.283,36;0,00;0,00;121,22;171,33;171,33;212,02;5.300,58;5.179,36
1,00;"Ma 07 Ott 2025";25,00;25,00;9,00;"1 mesi 17 giorni 0 ore";100,00;1,88;-1,15;687,00;470,00;4.667,78;100,00;0,00;110,00;186,71;186,71;241,35;6.033,63;5.923,63
1,00;"Me 08 Ott 2025";25,00;25,00;21,00;"3 mesi 24 giorni 0 ore";100,00;1,92;0,00;575,50;510,00;4.421,64;20,00;0,00;107,50;176,87;176,87;225,39;5.634,64;5.527,14
1,00;"Gi 09 Ott 2025";25,00;25,00;27,00;"1 mesi 19 giorni 0 ore";100,00;2,20;0,00;616,00;0,00;4.105,92;737,00;0,00;122,50;164,24;164,24;223,26;5.581,42;5.458,92
1,00;"Ve 10 Ott 2025";25,00;25,00;12,00;"1 mesi 0 giorni 0 ore";100,00;2,32;0,00;725,00;60,00;4.385,69;0,00;0,00;130,00;175,43;175,43;212,03;5.300,69;5.170,69
1,00;"Sa 11 Ott 2025";24,00;25,00;10,00;"1 mesi 21 giorni 0 ore";96,00;2,25;-4,00;722,00;380,00;4.695,26;0,00;-1,23;127,50;187,81;195,64;246,65;5.919,53;5.792,03
1,00;"Do 12 Ott 2025";25,00;25,00;23,00;"1 mesi 14 giorni 0 ore";100,00;2,00;0,00;663,00;540,00;4.007,19;8,00;-0,80;107,50;160,29;160,29;213,00;5.324,89;5.217,39
1,00;"Lu 13 Ott 2025";25,00;25,00;9,00;"0 mesi 27 giorni 0 ore";100,00;2,40;0,00;551,00;780,00;4.347,75;65,00;0,00;130,64;173,91;173,91;234,98;5.874,39;5.743,75
1,00;"Ma 14 Ott 2025";25,00;25,00;11,00;"2 mesi 19 giorni 0 ore";100,00;2,44;0,00;673,00;750,00;4.408,53;8,00;0,00;130,64;176,34;176,34;238,81;5.970,17;5.839,53
1,00;"Me 15 Ott 2025";25,00;25,00;15,00;"2 mesi 0 giorni 0 ore";100,00;2,40;0,00;623,00;320,00;4.076,94;32,00;0,00;134,40;163,08;163,08;207,45;5.186,34;5.051,94
